"ticker" "date" "price_ratio" "hurst" "trust_level"
"1" "AFLT" "2012-02-20" 0.984366576819407 0.888789842688452 0
"2" "AFLT" "2012-02-21" 0.956537552282233 0.897595489847589 0
"3" "AFLT" "2012-02-22" 0.964076384949896 0.902120136653377 9.52997064358408e-08
"4" "AFLT" "2012-02-24" 1.02311128374442 0.901576480919641 3.91801555960595e-08
"5" "AFLT" "2012-02-27" 0.974070543374642 0.904069295172207 6.7384122859659e-07
"6" "AFLT" "2012-02-28" 0.98793069885147 0.903717420411625 5.13718301172582e-07
"7" "AFLT" "2012-02-29" 0.98828125 0.903229052202716 3.36686108810167e-07
"8" "AFLT" "2012-03-01" 0.999006754072308 0.90321327416947 3.31774763794043e-07
"9" "AFLT" "2012-03-02" 0.999006951340616 0.903225202382249 3.3548330726908e-07
"10" "AFLT" "2012-03-05" 1.00755467196819 0.903232184265018 3.37666778970538e-07
"11" "AFLT" "2012-03-06" 0.970879556259905 0.903182746756575 3.22408329004635e-07
"12" "AFLT" "2012-03-07" 1.0055135797427 0.902572681448854 1.7027780560079e-07
"13" "AFLT" "2012-03-11" 1.00661322645291 0.902398797800917 1.38032364041437e-07
"14" "AFLT" "2012-03-12" 0.987015581302437 0.902470525310122 1.50788396385007e-07
"15" "AFLT" "2012-03-13" 1.00725660149163 0.90241915993667 1.4157733882178e-07
"16" "AFLT" "2012-03-14" 0.989050368305793 0.902434413377767 1.44272307429992e-07
"17" "AFLT" "2012-03-15" 0.993573006627837 0.902368810477327 1.32920187690096e-07
"18" "AFLT" "2012-03-16" 0.999596122778675 0.902969750356764 2.61914673212031e-07
"19" "AFLT" "2012-03-19" 0.972054684358665 0.903957784459409 6.19949646395568e-07
"20" "AFLT" "2012-03-20" 0.978126289723483 0.904223852160518 7.53574383667976e-07
"21" "AFLT" "2012-03-21" 0.986952861952862 0.905118700707955 1.34115573443768e-06
"22" "AFLT" "2012-03-22" 1 0.904734371283927 1.06117483122334e-06
"23" "AFLT" "2012-03-23" 1.02020846628377 0.905891355044948 2.04477529511758e-06
"24" "AFLT" "2012-03-26" 0.999792531120332 0.907488958583617 4.20014502678907e-06
"25" "AFLT" "2012-03-27" 1 0.908886209834591 7.01697117874627e-06
"26" "AFLT" "2012-03-28" 0.98133554541684 0.908787475821562 6.78566521873992e-06
