AFLT,GAZP,GMKN,LKOH,MGNT,MSNG,MTSS,ROSN,SBER,SIBN,SNGS
1,1,1,1,1,1,1,1,1,1,1
0.999815702174714,0.986118251928021,0.9882139966776,0.982204251333539,0.99504054054054,1.0029594554602,0.990388816076889,0.980934854619065,0.980505248586919,0.993672369346145,0.974336314468521
0.986175115207373,0.98696558915537,1.00303444352013,0.993964484655371,0.989669486960104,1.01593390380643,0.995147772386414,1.0038271049077,1.01894117647059,0.983195754716981,1.00638537169394
1.02056074766355,1.0080824088748,1.0513091570086,1.01015537251966,0.990316398084321,1.0455997676445,1.00527482269504,1.00171936906631,1.01085325020206,1.00389805097451,0.997836980424673
1.00091575091575,0.984436409369596,0.998299590839046,1.00298239518184,0.997695150115474,1.01388888888889,1.00533533224569,1.00186567164179,1.00685322672758,0.992174432497013,0.993063333212905
0.997255260750229,1.0135207069094,1.02914863387531,1.00753485955137,0.990731524391091,1.03945205479452,1.05263157894737,1.00882681564246,1.02654566080545,1.00054187488711,1.01819041728817
1.00678899082569,0.996638655462185,1.00258603540879,1.00229226361032,0.998411207529007,0.991038481813389,0.991458333333333,0.995791339018717,1.01690794562935,0.982669394632326,0.995104870118269
1,1,1,1,1.00861653382259,1,1,1,1,1,1
1.00218698742482,0.980080101180438,0.981150793650794,0.987364208118925,1,1.01595744680851,0.989703719268754,0.981722463203945,0.984785916105195,0.99216166564605,0.98524236983842
0.998363338788871,0.982686310355952,0.991494438827098,0.984411372980485,0.981438515081206,0.983769633507854,0.982590233545647,0.970543806646526,0.984109468108585,0.99370448092828,0.989175990378658
0.949726775956284,0.993105712409718,0.980870661276703,0.985888069271403,1.00945153664303,0.966737626397019,0.992091616248919,0.966225680933852,0.969948418928011,0.964906832298137,0.980178321420677
1.00652090525508,1.00743801652893,0.981462420594076,0.999409304351458,0.983672054670045,0.984310487200661,1.01006229036895,1.01280605670103,1.01815028901734,1.01062117798519,0.992707863479176
1,1,1,1,0.999938099070057,1,1,1,1,1,1
1.00114329268293,0.991468416735029,0.972449152542373,0.97395223880597,1,1.00615212527964,0.989563567362429,0.948270377733599,0.97467923242875,0.965987261146497,0.977659977281333
1,1,1,1,0.99047619047619,1,1,1,1,1,1
1.02398172820708,1.0039715373159,1.00718960513817,1.00465253130804,1,1.01723179544191,1.00453238037131,0.981382867206172,1.00931966449208,0.999604378214427,0.9856700232378
1.01579925650558,1,1,1,1,1,1,1,1,1,1
1,1.0015933190484,1.02142350355616,1.01045785132035,1,1.00792349726776,1.00837310195228,1.01465498825037,1.0058864265928,0.997955145118734,1.02365422396857
1,1,1,1,0.99375,1,1,1,1,1,1
1.03348581884721,1.0227098189797,0.997740364252435,1.01849525994807,1,1.01030089455137,1.00288258830616,0.994820616472966,1.0144578313253,1.010972304845,0.984761246737295
1.00053116147309,1.01829006650933,0.992267576247047,0.999152205747215,0.991286889211417,0.982023074859136,1.01960531960532,0.988359788359788,0.991856124872752,0.982020268061458,0.989358799454297
1.00884799150593,1.01243086647353,1.02248176431581,1.01524951047291,1.00927774171665,0.996448087431694,1.00559599444608,1.03635974304069,1.00410537119398,1.02157123834887,1.01532582144827
0.988423083669532,1.00254929504188,0.989410041841004,0.990578609000585,1.01304642166344,1.00219358376748,0.994142259414226,0.981900078515641,1.00034071550256,1.00690823774765,0.998409064452291
0.965039929015084,0.968292682926829,0.970093331472624,0.980045784952327,0.992849573742947,0.954582763337893,0.985690235690236,0.975127309456673,0.962420526793824,0.967637540453075,0.984764865915274
0.965612357484369,0.977062007610268,0.977560735319119,0.973498850131844,1.00370673076923,0.951562052163944,0.970922288642186,0.964825205006474,0.98018166804294,0.961204013377926,0.974820427815929
1,1,1,1,0.986727083742474,1,1,1,1,1,1
0.97486193106075,0.961603861554495,1.00334671872178,0.977131054272003,1,0.961746987951807,0.993975108843837,0.970163274435249,0.950896618124925,0.991649269311065,0.987813765182186
1.02168392264114,0.997718327534082,1.01668666666667,1.00900598711441,0.978300970873786,1.00219229564673,1.01017609061145,1.01747510143858,1.01695987849639,1.0000701754386,1.00131152916103
0.975143403441682,0.980389914813333,0.977467109936635,0.980398798211116,1.03458542152533,1.00375,0.994218640504555,0.992432138487334,1.01418792781581,0.996561644796857,0.990544799639802
1.01058823529412,0.982038721716818,0.990905635062612,0.99421639881257,0.982714628297362,0.989414694894147,1.00378854625551,1.02251141552511,1.01448030433182,1.00126742712294,1.00636363636364
0.977493209157936,0.968171021377672,0.995412212586289,0.976190476190476,0.999531469623614,0.982064191315293,1.00048275256737,0.994060643951235,0.967702915205032,0.958157524613221,0.98139935944814
1.01290194521636,1.0086481844946,1.01790977102698,1.02013843111404,0.99609375,1.01634091637296,1.00421108040532,1.01392632524708,1.00475,1.00873394495413,1.02489435588469
1.05839702135998,1.0470051687443,1.03186191536748,1.0233918128655,0.996151960784314,1.05296343001261,1.0208360634255,1.03433761630483,1.03570539935307,1.03827124563446,1.0203706727629
1.04776893167932,0.995179463352306,0.991137606678955,0.988798737174428,0.979824323991831,1,0.994052203679932,0.991175840651103,0.990630630630631,1.01296426068676,0.988277655531106
0.984272839724333,0.982783775897286,1.00609756097561,0.998135388662907,1.00690053486679,0.989520958083832,0.993069605268822,0.990535459613639,0.968715896689705,0.98498789346247,0.98983887944296
0.987432675044883,1.02036817102138,1.01948051948052,1.01713912826517,0.99107681718199,0.998487140695915,0.99692241005635,1.03075916230367,0.990987607960946,1.00133445708667,1.0228211525091
