GAZP,GMKN,LKOH,ROSN,SBER
1,1,1,1,1
0.986118251928021,0.9882139966776,0.982204251333539,0.980934854619065,0.980505248586919
0.98696558915537,1.00303444352013,0.993964484655371,1.0038271049077,1.01894117647059
1.0080824088748,1.0513091570086,1.01015537251966,1.00171936906631,1.01085325020206
0.984436409369596,0.998299590839046,1.00298239518184,1.00186567164179,1.00685322672758
1.0135207069094,1.02914863387531,1.00753485955137,1.00882681564246,1.02654566080545
0.996638655462185,1.00258603540879,1.00229226361032,0.995791339018717,1.01690794562935
1,1,1,1,1
0.980080101180438,0.981150793650794,0.987364208118925,0.981722463203945,0.984785916105195
0.982686310355952,0.991494438827098,0.984411372980485,0.970543806646526,0.984109468108585
0.993105712409718,0.980870661276703,0.985888069271403,0.966225680933852,0.969948418928011
1.00743801652893,0.981462420594076,0.999409304351458,1.01280605670103,1.01815028901734
1,1,1,1,1
0.991468416735029,0.972449152542373,0.97395223880597,0.948270377733599,0.97467923242875
1,1,1,1,1
1.0039715373159,1.00718960513817,1.00465253130804,0.981382867206172,1.00931966449208
1,1,1,1,1
1.0015933190484,1.02142350355616,1.01045785132035,1.01465498825037,1.0058864265928
1,1,1,1,1
1.0227098189797,0.997740364252435,1.01849525994807,0.994820616472966,1.0144578313253
1.01829006650933,0.992267576247047,0.999152205747215,0.988359788359788,0.991856124872752
1.01243086647353,1.02248176431581,1.01524951047291,1.03635974304069,1.00410537119398
1.00254929504188,0.989410041841004,0.990578609000585,0.981900078515641,1.00034071550256
0.968292682926829,0.970093331472624,0.980045784952327,0.975127309456673,0.962420526793824
0.977062007610268,0.977560735319119,0.973498850131844,0.964825205006474,0.98018166804294
1,1,1,1,1
0.961603861554495,1.00334671872178,0.977131054272003,0.970163274435249,0.950896618124925
0.997718327534082,1.01668666666667,1.00900598711441,1.01747510143858,1.01695987849639
0.980389914813333,0.977467109936635,0.980398798211116,0.992432138487334,1.01418792781581
0.982038721716818,0.990905635062612,0.99421639881257,1.02251141552511,1.01448030433182
0.968171021377672,0.995412212586289,0.976190476190476,0.994060643951235,0.967702915205032
