"a" "b" "alp" "profit" "bandh" "sr"
"2" 0.5 0.1 0.001 0.989680602802226 0.914839339547122 0.986631016042781
"3" 0.5 0.25 0.001 0.962511699105261 0.914839339547122 0.986631016042781
"4" 0.7 0.1 0.001 0.96460589994912 0.914839339547122 0.957219251336898
"5" 0.7 0.25 0.001 0.958635114734665 0.914839339547122 0.953208556149733
"6" 1 1 0.001 0.920651151602546 0.914839339547122 0.212566844919786
"7" 0.5 0.1 0.01 0.993117189548256 0.914839339547122 0.986631016042781
"8" 0.5 0.25 0.01 0.967027548854396 0.914839339547122 0.986631016042781
"9" 0.7 0.1 0.01 0.965212343176813 0.914839339547122 0.957219251336898
"10" 0.7 0.25 0.01 0.960301813146519 0.914839339547122 0.947860962566845
"11" 1 1 0.01 0.931657447988906 0.914839339547122 0.235294117647059
"12" 0.5 0.1 0.1 0.997325639060636 0.914839339547122 0.986631016042781
"13" 0.5 0.25 0.1 0.971185741639635 0.914839339547122 0.979946524064171
"14" 0.7 0.1 0.1 0.965742302902704 0.914839339547122 0.953208556149733
"15" 0.7 0.25 0.1 0.961712050539664 0.914839339547122 0.951871657754011
"16" 1 1 0.1 0.939481102346424 0.914839339547122 0.566844919786096
"17" 0.5 0.1 0.25 0.997973019272786 0.914839339547122 0.986631016042781
"18" 0.5 0.25 0.25 0.971717853888978 0.914839339547122 0.983957219251337
"19" 0.7 0.1 0.25 0.965804399998275 0.914839339547122 0.953208556149733
"20" 0.7 0.25 0.25 0.961875047068877 0.914839339547122 0.949197860962567
"21" 1 1 0.25 0.940332818128468 0.914839339547122 0.685828877005348
"22" 0.5 0.1 1 0.997424698864016 0.914839339547122 0.986631016042781
"23" 0.5 0.25 1 0.971078871633077 0.914839339547122 0.970588235294118
"24" 0.7 0.1 1 0.965719473759646 0.914839339547122 0.953208556149733
"25" 0.7 0.25 1 0.961643175917501 0.914839339547122 0.949197860962567
"26" 1 1 1 0.93885324152761 0.914839339547122 0.566844919786096
